Date,Open,High,Low,Close,Volume,Adj Close
2009-11-04,190.73,193.85,190.23,190.81,121882600,25.93
2009-11-05,192.4,195.0,191.82,194.03,96200300,26.36
2009-11-06,192.51,195.19,192.4,194.34,73774400,26.4
2009-11-09,196.94,201.9,196.26,201.46,132213900,27.37
2009-11-10,201.02,204.98,201.01,202.98,100298800,27.58
2009-11-11,204.56,205.0,201.83,203.25,110967500,27.62
2009-11-12,203.14,204.87,201.43,201.99,90932800,27.44
2009-11-13,202.87,204.83,202.07,204.45,85810200,27.78
2009-11-16,205.48,208.0,205.01,206.63,121301600,28.07
2009-11-17,206.08,207.44,205.0,207.0,99128400,28.12
2009-11-18,206.54,207.0,204.0,205.96,93580200,27.98
2009-11-19,204.61,204.61,199.8,200.51,135581600,27.24
2009-11-20,199.15,200.39,197.76,199.92,101666600,27.16
2009-11-23,203.0,206.0,202.95,205.88,118724200,27.97
2009-11-24,205.33,205.88,202.9,204.44,79609600,27.78
2009-11-25,205.4,205.65,203.76,204.19,71613500,27.74
2009-11-27,199.22,202.96,198.37,200.59,73814300,27.25
2009-11-30,201.11,201.68,198.77,199.91,106214500,27.16
2009-12-01,202.24,202.77,196.83,196.97,116440800,26.76
2009-12-02,198.96,201.42,195.75,196.23,178815000,26.66
2009-12-03,197.42,198.98,196.27,196.48,112179900,26.7
2009-12-04,199.7,199.88,190.28,193.32,206721200,26.27
2009-12-07,193.32,193.77,188.68,188.95,178689700,25.67
2009-12-08,189.36,192.35,188.7,189.87,172599700,25.8
2009-12-09,191.28,198.16,190.31,197.8,171195500,26.87
2009-12-10,199.5,199.7,196.12,196.43,122417400,26.69
2009-12-11,197.78,198.0,193.43,194.67,107443700,26.45
2009-12-14,195.37,197.43,192.56,196.98,123947600,26.76
2009-12-15,195.83,197.51,193.27,194.17,104864900,26.38
2009-12-16,195.1,196.5,194.55,195.03,88246200,26.5
2009-12-17,194.26,195.0,191.0,191.86,97209700,26.07
2009-12-18,193.17,195.5,192.6,195.43,152192600,26.55
2009-12-21,196.05,199.75,195.67,198.23,152976600,26.93
2009-12-22,199.44,200.85,198.66,200.36,87378900,27.22
2009-12-23,201.2,202.38,200.81,202.1,86381400,27.46
2009-12-24,203.55,209.35,203.35,209.04,125222300,28.4
2009-12-28,211.72,213.95,209.61,211.61,161141400,28.75
2009-12-29,212.63,212.72,208.73,209.1,111301400,28.41
2009-12-30,208.83,212.0,208.31,211.64,103021100,28.76
2009-12-31,213.13,213.35,210.56,210.73,88102700,28.63
2010-01-04,213.43,214.5,212.38,214.01,123432400,29.08
2010-01-05,214.6,215.59,213.25,214.38,150476200,29.13
2010-01-06,214.38,215.23,210.75,210.97,138040000,28.66
2010-01-07,211.75,212.0,209.05,210.58,119282800,28.61
2010-01-08,210.3,212.0,209.06,211.98,111902700,28.8
2010-01-11,212.8,213.0,208.45,210.11,115557400,28.55
2010-01-12,209.19,209.77,206.42,207.72,148614900,28.22
2010-01-13,207.87,210.93,204.1,210.65,151473000,28.62
2010-01-14,210.11,210.46,209.02,209.43,108223500,28.46
2010-01-15,210.93,211.6,205.87,205.93,148516900,27.98
2010-01-19,208.33,215.19,207.24,215.04,182501900,29.22
2010-01-20,214.91,215.55,209.5,211.73,153038200,28.77
2010-01-21,212.08,213.31,207.21,208.07,152038600,28.27
2010-01-22,206.78,207.5,197.16,197.75,220441900,26.87
2010-01-25,202.51,204.7,200.19,203.07,266424900,27.59
2010-01-26,205.95,213.71,202.58,205.94,466777500,27.98
2010-01-27,206.85,210.58,199.53,207.88,430642100,28.24
2010-01-28,204.93,205.5,198.7,199.29,293375600,27.08
2010-01-29,201.08,202.2,190.25,192.06,311488100,26.1
2010-02-01,192.37,196.0,191.3,194.73,187469100,26.46
2010-02-02,195.91,196.32,193.38,195.86,174585600,26.61
2010-02-03,195.17,200.2,194.42,199.23,153832000,27.07
2010-02-04,196.73,198.37,191.57,192.05,189413000,26.09
2010-02-05,192.63,196.0,190.85,195.46,212576700,26.56
2010-02-08,195.69,197.88,194.0,194.12,119567700,26.37
2010-02-09,196.42,197.5,194.75,196.19,158221700,26.66
2010-02-10,195.89,196.6,194.26,195.12,92590400,26.51
2010-02-11,194.88,199.75,194.06,198.67,137586400,26.99
2010-02-12,198.11,201.64,195.5,200.38,163867200,27.23
2010-02-16,201.94,203.69,201.52,203.4,135934400,27.64
2010-02-17,204.19,204.31,200.86,202.55,109099200,27.52
2010-02-18,201.63,203.89,200.92,202.93,105706300,27.57
2010-02-19,201.86,203.2,201.11,201.67,103867400,27.4
2010-02-22,202.34,202.5,199.19,200.42,97640900,27.23
2010-02-23,200.0,201.33,195.71,197.06,143773700,26.77
2010-02-24,198.23,201.44,197.84,200.66,115141600,27.26
2010-02-25,197.38,202.86,196.89,202.0,166281500,27.45
2010-02-26,202.38,205.17,202.0,204.62,126865200,27.8
2010-03-01,205.75,209.5,205.45,208.99,137523400,28.4
2010-03-02,209.93,210.83,207.74,208.85,141636600,28.38
2010-03-03,208.94,209.87,207.94,209.33,93013200,28.44
2010-03-04,209.28,210.92,208.63,210.71,91510300,28.63
2010-03-05,214.94,219.7,214.63,218.95,224905100,29.75
2010-03-08,220.01,220.09,218.25,219.08,107472400,29.77
2010-03-09,218.31,225.0,217.89,223.02,230064800,30.3
2010-03-10,223.83,225.48,223.2,224.84,149054500,30.55
2010-03-11,223.91,225.5,223.32,225.5,101425100,30.64
